code,name,market,market_cap,sector_krx,sector_override,sector_display,sector_kis,sector_kis_lcls
011210,현대위아,KOSPI,1604500000000,운송장비·부품,,운송장비·부품,서비스업,은행
131970,두산테스나,KOSDAQ,1602200000000,일반서비스,,일반서비스,"그외 기타 전문, 과학 및 기술 서비스업","그외 기타 전문, 과학 및 기술 서비스업"
120110,코오롱인더,KOSPI,1602100000000,화학,,화학,화학섬유 제조업,화학섬유 제조업
089970,브이엠,KOSDAQ,1571700000000,기계·장비,,기계·장비,특수 목적용 기계 제조업,특수 목적용 기계 제조업
020560,아시아나항공,KOSPI,1571700000000,운송·창고,,운송·창고,운수창고,운수창고
322000,HD현대에너지솔루션,KOSPI,1565800000000,전기·전자,,전기·전자,반도체 제조업,반도체 제조업
241710,코스메카코리아,KOSDAQ,1565700000000,화학,,화학,기타 화학제품 제조업,기타 화학제품 제조업
097230,HJ중공업,KOSPI,1551300000000,건설,,건설,운수장비,운수장비
001800,오리온홀딩스,KOSPI,1519000000000,기타금융,,기타금융,음식료품,음식료품
001430,세아베스틸지주,KOSPI,1517000000000,금속,,금속,철강및금속,철강및금속
294870,HDC현대산업개발,KOSPI,1512600000000,건설,,건설,건물 건설업,건물 건설업
030530,원익홀딩스,KOSDAQ,1510000000000,화학,,화학,IT H/W,반도체
323280,태성,KOSDAQ,1507000000000,기계·장비,,기계·장비,특수 목적용 기계 제조업,특수 목적용 기계 제조업
007810,코리아써키트,KOSPI,1479700000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
006280,녹십자,KOSPI,1479500000000,제약,,제약,의약품,의약품
001120,LX인터내셔널,KOSPI,1472900000000,유통,,유통,유통업,유통업
229640,LS에코에너지,KOSPI,1450100000000,기타금융,,기타금융,기타 금융업,기타 금융업
069620,대웅제약,KOSPI,1437900000000,제약,,제약,의약품,의약품
078600,대주전자재료,KOSDAQ,1435400000000,전기·전자,,전기·전자,IT H/W,IT부품
298020,효성티앤씨,KOSPI,1423800000000,화학,,화학,화학섬유 제조업,화학섬유 제조업
475830,오름테라퓨틱,KOSDAQ,1422600000000,제약,,제약,기초 의약물질 및 생물학적 제제 제조업,기초 의약물질 및 생물학적 제제 제조업
035900,JYP Ent.,KOSDAQ,1408900000000,오락·문화,,오락·문화,사업서비스,전문기술
093370,후성,KOSPI,1379300000000,화학,,화학,화학,화학
420770,기가비스,KOSDAQ,1379100000000,기계·장비,,기계·장비,특수 목적용 기계 제조업,특수 목적용 기계 제조업
290650,엘앤씨바이오,KOSDAQ,1367400000000,제약,,제약,의약품 제조업,의약품 제조업
281820,케이씨텍,KOSPI,1352200000000,의료·정밀기기,,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기제외"
012630,HDC,KOSPI,1350200000000,기타금융,,기타금융,건설업,건설업
001740,SK네트웍스,KOSPI,1348000000000,유통,,유통,유통업,유통업
005070,코스모신소재,KOSPI,1338500000000,화학,,화학,화학,화학
039200,오스코텍,KOSDAQ,1335200000000,제약,,제약,제조,제약
082920,비츠로셀,KOSDAQ,1333900000000,전기·전자,,전기·전자,IT H/W,IT부품
007310,오뚜기,KOSPI,1312600000000,음식료·담배,,음식료·담배,음식료품,음식료품
183300,코미코,KOSDAQ,1294400000000,기계·장비,,기계·장비,특수 목적용 기계 제조업,특수 목적용 기계 제조업
082640,동양생명,KOSPI,1287500000000,보험,,보험,보험업,보험업
017960,한국카본,KOSPI,1279000000000,금속,,금속,기계,기계
415640,KB발해인프라,KOSPI,1276900000000,기타금융,,기타금융,투자기관,투자기관
003540,대신증권,KOSPI,1272700000000,증권,,증권,금융업,증권
218410,RFHIC,KOSDAQ,1270300000000,전기·전자,,전기·전자,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업
280360,롯데웰푸드,KOSPI,1261000000000,음식료·담배,,음식료·담배,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업
195940,HK이노엔,KOSDAQ,1218200000000,제약,,제약,의약품 제조업,의약품 제조업
127120,제이에스링크,KOSDAQ,1218100000000,일반서비스,,일반서비스,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
192080,더블유게임즈,KOSPI,1217500000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
004000,롯데정밀화학,KOSPI,1208700000000,화학,,화학,화학,화학
204270,제이앤티씨,KOSDAQ,1200400000000,전기·전자,,전기·전자,전자부품 제조업,전자부품 제조업
300720,한일시멘트,KOSPI,1187000000000,비금속,,비금속,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 석회, 플라스터 및 그 제품 제조업"
347700,스피어,KOSDAQ,1177900000000,IT 서비스,,IT 서비스,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
043260,성호전자,KOSDAQ,1175700000000,전기·전자,,전기·전자,IT H/W,IT부품
003380,하림지주,KOSDAQ,1171600000000,금융,,금융,기타 금융업,기타 금융업
030610,교보증권,KOSPI,1154400000000,증권,,증권,금융업,증권
001820,삼화콘덴서,KOSPI,1140300000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
330590,롯데리츠,KOSPI,1134200000000,부동산,,부동산,부동산 임대 및 공급업,부동산 임대 및 공급업
006340,대원전선,KOSPI,1093100000000,전기·전자,,전기·전자,"전기,전자","전기,전자"
000080,하이트진로,KOSPI,1061100000000,음식료·담배,,음식료·담배,음식료품,음식료품
166090,하나머티리얼즈,KOSDAQ,1060100000000,전기·전자,,전기·전자,반도체 제조업,반도체 제조업
003530,한화투자증권,KOSPI,1044800000000,증권,,증권,금융업,증권
496320,본시스템즈,KONEX,1039300000000,,,,특수 목적용 기계 제조업,특수 목적용 기계 제조업
077970,STX엔진,KOSPI,1031800000000,기계·장비,,기계·장비,기계,기계
437730,삼현,KOSDAQ,1028900000000,운송장비·부품,,운송장비·부품,자동차 부품 제조업,자동차 부품 제조업
003570,SNT다이내믹스,KOSPI,1020900000000,운송장비·부품,,운송장비·부품,운수장비,운수장비
000210,DL,KOSPI,1020600000000,화학,,화학,건설업,건설업
032350,롯데관광개발,KOSPI,1019700000000,일반서비스,,일반서비스,서비스업,서비스업
003090,대웅,KOSPI,1002900000000,제약,,제약,서비스업,서비스업
003240,태광산업,KOSPI,990900000000,화학,,화학,화학,화학
451800,한화리츠,KOSPI,951900000000,부동산,,부동산,부동산 임대 및 공급업,부동산 임대 및 공급업
036540,SFA반도체,KOSDAQ,937400000000,전기·전자,,전기·전자,IT H/W,반도체
491000,리브스메드,KOSDAQ,833400000000,의료·정밀기기,,의료·정밀기기,의료용 기기 제조업,의료용 기기 제조업
